Region_Name,Legal_Name
강동구,마천동
강동구,이동
강동구,명일동
강동구,고덕동
강동구,상일동
강동구,하일동
강동구,풍납동
강동구,천호동
강동구,길동
강동구,성내동
강동구,길동
강동구,길동
강동구,상일동
강남구,도곡동
강남구,대치동
강남구,포이동
강남구,개포동
강남구,일원동
강남구,일원동
강남구,수서동
강남구,강남구
송파구,송파동
송파구,거여동
송파구,방이동
송파구,송파구
송파구,삼전동
송파구,가락동
송파구,송파구
송파구,가락동
송파구,문정동
송파구,장지동
송파구,이동
송파구,오금동
송파구,거여동
송파구,송파구
성북구,안암동2가
성북구,안암동3가
성북구,보문동7가
성북구,보문동1가
성북구,보문동2가
성북구,보문동3가
성북구,정릉동
성북구,정릉동
성북구,장위동
도봉구,도봉구
서초구,잠원동
서초구,반포동
서초구,염곡동
강남구,강남구
종로구,연지동
종로구,효제동
종로구,종로5가
종로구,종로6가
종로구,충신동
종로구,이화동
종로구,연건동
종로구,동숭동
종로구,혜화동
종로구,명륜1가
종로구,명륜2가
종로구,명륜3가
종로구,창신동
중구,의주로1가
중구,충정로1가
중구,충무로4가
중구,충무로5가
중구,묵정동
중구,필동1가
중구,필동3가
중구,남학동
중구,주자동
중구,예장동
중구,장충동2가
중구,충무로3가
중구,신당동
중구,황학동
중구,의주로2가
중구,만리동1가
중구,만리동2가
용산구,용산구
용산구,후암동
용산구,용산동2가
용산구,용산동4가
용산구,갈월동
용산구,남영동
용산구,용산동1가
용산구,동자동
용산구,서계동
용산구,청파동1가
용산구,청파동2가
용산구,청파동3가
용산구,원효로1가
용산구,원효로2가
용산구,신창동
용산구,산천동
용산구,청암동
성북구,정릉동
성북구,돈암동
성북구,정릉동
중구,순화동
용산구,원효로3가
용산구,원효로4가
용산구,효창동
용산구,도원동
용산구,한강로2가
용산구,용산동3가
용산구,이촌동
용산구,이촌동
용산구,서빙고동
용산구,주성동
용산구,용산동6가
용산구,보광동
노원구,상계동
노원구,상계동
노원구,상계동
노원구,상계동
은평구,녹번동
은평구,불광동
은평구,불광동
은평구,갈현동
은평구,구산동
은평구,대조동
